condition,perceived_accuracy,understanding,teaming,frustration,trust,recommend
empty,6,5,5,3,4,5
empty,6,6,4,6,5,2
empty,6,5,2,6,2,2
empty,6,3,6,2,6,5
empty,5,2,6,2,2,3
empty,6,2,5,2,6,6
empty,6,5,6,2,5,4
empty,6,6,4,2,6,6
empty,4,3,4,5,3,2
empty,6,6,5,2,6,5
empty,5,4,5,3,5,3
empty,6,6,5,2,5,6
empty,6,6,6,2,6,6
empty,6,4,5,2,6,6
empty,6,6,4,2,5,6
empty,7,6,7,2,7,7
empty,6,5,5,2,6,6
empty,6,5,4,2,6,6
empty,6,5,6,4,5,4
empty,6,5,6,2,6,4
empty,5,5,5,4,4,5
empty,6,6,6,2,5,5
empty,6,6,6,2,5,5
empty,2,5,6,6,2,1
empty,6,4,4,3,5,6
empty,6,3,5,3,5,5
empty,7,6,6,2,6,6
empty,6,5,5,1,7,7
empty,6,5,3,4,4,4
empty,6,3,4,2,6,6
_feature,5,4,5,3,4,5
_feature,6,5,5,2,6,6
_feature,6,6,6,2,6,6
_feature,4,4,5,5,3,3
_feature,5,6,6,2,5,5
_feature,6,5,7,2,6,6
_feature,7,7,7,1,7,7
_feature,6,6,6,2,6,6
_feature,5,6,5,2,6,6
_feature,6,5,6,3,5,5
_feature,6,5,6,2,6,6
_feature,6,5,7,2,6,6
_feature,7,7,7,5,6,5
_feature,6,5,2,2,4,2
_feature,6,6,6,2,5,5
_feature,5,2,4,4,3,4
_feature,5,5,3,5,3,5
_feature,6,5,5,2,6,5
_feature,6,6,2,3,6,4
_feature,6,3,6,6,1,4
_feature,6,6,6,3,3,5
_feature,6,6,6,3,3,6
_feature,5,4,1,5,2,4
_feature,6,7,6,1,6,5
_feature,6,4,5,4,2,2
_feature,2,3,2,6,2,2
_feature,6,6,6,5,6,4
_feature,6,3,6,3,6,5
_feature,6,3,5,3,5,5
_feature,6,6,6,2,6,5
_instance_explain,6,5,2,3,5,6
_instance_explain,7,7,7,1,7,7
_instance_explain,5,4,5,4,4,4
_instance_explain,6,6,6,3,5,6
_instance_explain,6,5,5,3,5,5
_instance_explain,6,5,5,5,3,3
_instance_explain,6,5,4,1,6,6
_instance_explain,5,5,4,4,4,4
_instance_explain,6,6,6,5,2,5
_instance_explain,6,7,7,5,3,4
_instance_explain,7,7,7,1,6,5
_instance_explain,6,6,5,3,6,6
_instance_explain,6,5,6,2,6,6
_instance_explain,6,5,7,2,6,7
_instance_explain,6,6,4,1,4,5
_instance_explain,7,6,5,2,5,5
_instance_explain,6,5,5,2,5,5
_instance_explain,7,6,6,1,7,7
_instance_explain,3,1,2,6,1,1
_instance_explain,6,6,7,2,6,6
_instance_explain,5,5,4,4,4,5
_instance_explain,6,1,2,5,3,3
_instance_explain,6,6,6,2,6,6
_instance_explain,6,5,5,2,6,6
_instance_explain,6,4,3,3,6,6
_instance_explain,6,3,2,7,1,1
_instance_explain,6,7,6,2,6,6
_instance_explain,6,6,6,3,5,5
_instance_explain,5,4,5,3,5,5
_instance_explain,5,5,4,3,5,3
_feature_explain,6,6,5,5,5,5
_feature_explain,6,5,6,3,6,6
_feature_explain,3,5,6,5,2,3
_feature_explain,6,6,6,2,5,6
_feature_explain,6,6,6,2,6,6
_feature_explain,6,6,4,3,6,6
_feature_explain,6,5,6,3,5,5
_feature_explain,5,5,6,5,5,6
_feature_explain,6,6,6,2,6,6
_feature_explain,7,7,6,2,7,6
_feature_explain,6,6,6,2,6,5
_feature_explain,2,1,7,7,1,1
_feature_explain,6,7,6,1,6,7
_feature_explain,5,5,3,5,3,2
_feature_explain,6,6,5,2,6,7
_feature_explain,6,5,5,3,6,5
_feature_explain,6,7,7,2,7,7
_feature_explain,5,5,5,7,2,1
_feature_explain,6,6,6,3,5,6
_feature_explain,6,6,6,2,6,5
_feature_explain,7,7,4,1,7,6
_feature_explain,7,7,5,4,4,5
_feature_explain,5,5,6,3,5,4
_feature_explain,5,5,3,2,6,7
_feature_explain,6,4,1,1,6,4
_feature_explain,7,6,6,1,7,7
_feature_explain,3,3,2,7,1,2
_feature_explain,6,5,5,3,5,2
_feature_explain,5,5,6,5,3,3
_feature_explain,5,4,3,5,3,2
_explain,6,5,5,2,6,6
_explain,6,5,6,2,5,6
_explain,6,5,2,3,4,5
_explain,7,6,7,1,7,7
_explain,6,5,7,1,7,7
_explain,6,6,6,2,5,6
_explain,5,2,3,5,5,5
_explain,5,5,4,4,5,4
_explain,5,5,1,6,2,2
_explain,4,3,2,6,2,1
_explain,6,1,1,7,1,1
_explain,5,3,2,6,2,2
_explain,5,3,3,6,3,2
_explain,6,5,4,3,6,6
_explain,6,6,6,3,5,5
_explain,5,5,5,3,3,5
_explain,7,6,7,1,7,6
_explain,6,6,5,2,6,5
_explain,7,6,7,4,4,4
_explain,7,6,6,2,6,6
_explain,4,4,4,4,4,4
_explain,5,5,5,4,3,5
_explain,6,5,7,1,6,6
_explain,2,5,1,7,1,1
_explain,5,6,6,5,3,3
_explain,7,6,6,1,6,6
_explain,5,5,5,4,3,3
_explain,6,6,6,2,6,6
_explain,6,3,5,5,2,2
_explain,5,6,6,5,3,3
_instance,6,6,5,2,4,2
_instance,6,2,4,4,3,5
_instance,5,5,6,5,4,5
_instance,6,6,5,2,6,6
_instance,6,5,6,1,6,6
_instance,6,6,4,2,6,6
_instance,6,5,4,3,6,5
_instance,6,6,7,2,6,6
_instance,6,4,3,2,6,5
_instance,6,5,7,5,5,3
_instance,7,5,4,2,6,3
_instance,6,6,6,2,6,6
_instance,6,6,6,6,5,6
_instance,7,7,7,1,7,7
_instance,6,2,2,2,6,6
_instance,6,6,1,2,6,6
_instance,6,6,5,3,5,6
_instance,6,3,3,2,5,6
_instance,7,6,7,2,6,6
_instance,6,6,5,4,3,4
_instance,5,5,5,4,5,5
_instance,5,4,2,5,3,4
_instance,6,6,7,2,6,5
_instance,6,6,7,2,6,6
_instance,6,5,5,2,6,6
_instance,6,6,6,1,6,6
_instance,6,5,6,2,6,6
_instance,6,5,5,2,6,6
_instance,6,4,5,2,5,5
_instance,5,6,6,6,3,2
